community_area,primary type,total_crimes,features,prediction
19,1540,1,[19.0],1
16,1375,2,[16.0],1
3,1200,16,[3.0],2
50,501H,1,[50.0],0
2,272,1,[2.0],2
15,2830,1,[15.0],1
8,2031,4,[8.0],2
27,840,129,[27.0],4
26,1850,3,[26.0],4
23,2230,3,[23.0],4
31,840,90,[31.0],3
18,841,25,[18.0],1
27,842,3,[27.0],4
2,1682,1,[2.0],2
3,1620,1,[3.0],2
36,271,1,[36.0],3
2,4388,2,[2.0],2
6,2160,3,[6.0],2
16,2010,1,[16.0],1
12,1576,1,[12.0],1
8,1580,1,[8.0],2
17,500N,3,[17.0],1
1,1135,1,[1.0],2
49,2030,1,[49.0],0
21,142A,1,[21.0],4
44,1585,1,[44.0],0
28,1205,1,[28.0],4
6,584,2,[6.0],2
22,5112,1,[22.0],4
11,4240,1,[11.0],1
33,2025,1,[33.0],3
2,1480,2,[2.0],2
47,1581,1,[47.0],0
35,584,1,[35.0],3
0,2026,10,[0.0],2
0,313,41,[0.0],2
0,2210,8,[0.0],2
0,4651,11,[0.0],2
25,1140,7,[25.0],4
41,1375,1,[41.0],0
0,1235,1,[0.0],2
29,2230,3,[29.0],4
27,1590,1,[27.0],4
21,1581,7,[21.0],4
36,1241,1,[36.0],3
39,1030,1,[39.0],3
36,584,3,[36.0],3
45,1564,1,[45.0],0
26,1050,2,[26.0],4
6,841,29,[6.0],2
3,1235,28,[3.0],2
3,499,1,[3.0],2
42,843,4,[42.0],0
39,841,12,[39.0],3
34,1261,2,[34.0],3
40,842,1,[40.0],3
50,843,1,[50.0],0
1,4255,2,[1.0],2
37,1581,5,[37.0],3
10,1541,1,[10.0],2
20,1581,4,[20.0],1
4,3300,1,[4.0],2
12,3800,1,[12.0],1
49,1590,1,[49.0],0
4,5009,1,[4.0],2
36,5003,1,[36.0],3
41,937,1,[41.0],0
34,3800,1,[34.0],3
0,312,36,[0.0],2
0,1150,50,[0.0],2
0,3800,9,[0.0],2
0,850,24,[0.0],2
19,842,6,[19.0],1
14,842,2,[14.0],1
